标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
HUAWEI 华为畅享9 4GB+128GB 极光蓝 高清珍珠屏 AI长续航 全网通标配版 移动联通电信4G手机,华为（HUAWEI）,华为畅享9,100005160068,1199.00,410848,5,195225,317563,0.98,1670,1223,1223,1083
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+64GB翡冷翠全网通版双4G手机,华为（HUAWEI）,华为Mate 20,100000986086,3199.00,406197,5,292204,293814,0.99,3031,1644,1604,1038
【新品抢购】Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+128GB 曜石黑 游戏智能手机 小米 红米,小米（MI）,小米Redmi Note8,100007958736,1399.00,169668,5,32094,136773,0.97,1009,726,435,366
荣耀Magic2魔法手机 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变蓝 移动联通电信4G手机 双卡双待,华为（HUAWEI）,华为荣耀Magic2,100001364210,2299.00,167747,5,116285,114327,0.97,2145,1230,1356,1089
小米9SE 骁龙712 索尼4800万超广角三摄 5.97英寸舒适握感 全息幻彩蓝 6GB+64GB 游戏智能拍照手机,小米（MI）,小米小米9SE,7437688,1599.00,166514,5,50645,113256,0.95,2344,1139,1432,1181
小米Max3 5500mAh充电宝级电量 AI双摄 全金属机身 骁龙八核处理器 黑色 6GB+128GB 游戏智能拍照手机,小米（MI）,小米Max3,8457421,1299.00,166431,5,126079,116530,0.98,1340,792,778,645
尼凯恩（neken） EN3全网通4G老年手机超长待机移动联通电信版大屏幕大音量大字大声三防老人手机 黑色【移动版】,尼凯恩（neken）,尼凯恩（neken）EN3,11481305161,99.00,165600,5,138013,116734,0.98,834,244,1040,881
天语（K-TOUCH）T2 红色 移动联通2G 老人手机 直板按键 双卡双待 老年手机,天语（K-TOUCH）,天语T2,4270019,89.00,157134,5,136967,112615,0.98,752,277,764,637
飞利浦 PHILIPS E258S 宝石蓝 直板按键 移动/联通2G 老人手机 老年功能手机,飞利浦（PHILIPS）,飞利浦E258S,8717360,169.00,152359,5,100251,98586,0.99,543,215,302,291
飞利浦（PHILIPS）E316 尊贵金 大屏超长待机 直板按键 移动联通2G 双卡双待 老人手机 学生备用功能机,飞利浦（PHILIPS）,飞利浦E316,100003669075,199.00,143137,5,127231,108376,0.98,642,228,788,800
中兴/ZTE 守护宝 F888  直板 按键 超长待机 三防老人手机 双卡双待 黑色 2G移动/联通版,守护宝,守护宝F888,5980401,178.00,142186,5,130459,97729,0.99,688,339,498,458
诺基亚（NOKIA）210 灰色 移动联通2G 老人老年直板按键手机 学生备用功能机,诺基亚（NOKIA）,诺基亚210,100005162036,269.00,137981,5,112540,95701,0.98,668,173,862,1098
小米MIX3 骁龙845AIE AI 双摄 磁动力滑盖全面屏 三星 AMOLED屏幕 黑色 8GB+128GB 游戏智能拍照手机,小米（MI）,小米MIX3,7652009,2599.00,137078,5,103858,93420,0.98,1605,1039,1024,857
守护宝（angelcare）L580 红色 直板按键 超长待机 移动联通2G 老人手机 学生备用商务功能机,守护宝,守护宝上海中兴L580,5097646,219.00,133665,5,124602,57166,0.97,1137,95,1584,1805
中兴/ZTE 守护宝 U288+ 黑色 环保材质 直板按键 超长待机 移动联通2G 老人手机 学生备用功能机,守护宝,守护宝上海中兴U288+,2699502,99.00,133665,5,124602,57166,0.97,1137,95,1584,1805
vivo iQOO Neo 8GB+64GB 碳纤黑 骁龙845处理器 4500mAh强悍续航游戏手机 22.5W超快闪充 全网通4G手机,vivo,vivoiQOO Neo,100006386658,2098.00,131269,5,44024,85447,0.96,2153,1129,957,841
荣耀20 PRO 李现同款 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+256GB 幻夜星河 拍照手机,华为（HUAWEI）,华为荣耀20,100005603488,3189.00,128818,5,41396,85226,0.94,2346,1199,1280,916
Redmi 7A 4000mAh超长续航 AI人脸解锁 骁龙8核  标配10W充电器 整机防泼溅 2GB+32GB 雾光金 游戏智能手机 小米 红米,小米（MI）,小米红米7A,100006730354,539.00,126448,5,26034,99684,0.97,566,334,395,335
华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB摩登黑全网通版双4G手机,华为（HUAWEI）,华为畅享 9e,100004326550,899.00,122826,5,25130,97048,0.97,469,291,373,275
华为 HUAWEI nova 5i 后置AI四摄 极点全面屏 前置2400万高清摄像头 8GB+128GB 幻夜黑 全网通双卡双待,华为（HUAWEI）,华为nova 5i,100003774679,2199.00,121113,5,28346,92017,0.97,778,370,398,352
魅族 X8 准旗舰游戏拍照手机 6GB+128GB 亮黑 全网通移动联通电信4G手机 双卡双待,魅族（MEIZU）,魅族 X8,100000992900,1298.00,117959,5,60088,79781,0.96,1700,761,1255,1012
华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待,华为（HUAWEI）,华为畅享MAX,100000745034,1199.00,109359,5,59043,82154,0.98,722,440,371,277
黑鲨游戏手机2 8GB+256GB 冰封银 骁龙855 Magic Press立体操控 塔式全域液冷 全面屏 全网通4G 双卡双待,黑鲨,黑鲨游戏手机2,100003800398,2899.00,108526,5,41904,71148,0.93,2275,991,1804,1021
中兴/ZTE 守护宝 L660 典雅红 双屏翻盖 大屏大字 超长待机 移动联通2G双卡双待 老人手机 学生备用功能机,守护宝,守护宝上海中兴L660,3718259,199.00,104810,5,94242,51688,0.99,1213,92,406,493
守护宝 （上海中兴）L800 直板老人手机 移动/联通 老年机 黑色,守护宝,守护宝 （上海中兴）L800 直板老人手机 移动/联通 老年机 黑色,1466498777,249.00,97488,5,92045,1709,0.95,180,5,2028,2810
锤子（smartisan） 坚果 R1 8G+128GB 碳黑色 全面屏双摄  全网通4G手机 双卡双待  游戏手机,锤子（smartisan）,锤子坚果R1,7293066,2499.00,94844,5,73859,66691,0.97,1150,458,945,647
vivo X27 8GB+128GB大内存 翡翠色 零界全面屏AI三摄 移动联通电信全网通4G手机,vivo,vivoX27,100004363758,2698.00,93234,5,29404,62579,0.95,1073,666,722,529
vivo Z5 6GB+256GB 极光幻境 4800万超广角AI三摄手机 22.5W快充 4500mAh大电池 全网通4G手机,vivo,vivoZ5,100004138065,1898.00,91009,5,26885,63127,0.96,1373,942,550,447
诺基亚（NOKIA）3310 深蓝色 直板按键 移动联通2G手机 双卡双待 时尚手机 经典复刻 学生备用功能机,诺基亚（NOKIA）,诺基亚3310,5179864,289.00,90994,5,80675,59128,0.99,716,326,376,415
华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB星河银4G全网通手机,华为（HUAWEI）,华为Mate 30 Pro,100004788067,5799.00,89833,5,20894,68678,0.98,1290,590,152,109
天语（K-TOUCH） Q31 三防老人手机 直板按键  双卡双待 移动/联通2G 老年手机 黑色,天语（K-TOUCH）,天语Q31,6380419,115.00,86391,5,40269,61018,0.97,589,259,553,329
【至高优惠50】vivo Z3 水滴全面屏 高通骁龙处理器 双摄拍照 4G全网通手机 极光蓝 6GB  64GB,vivo,【至高优惠50】vivo Z3 水滴全面屏 高通骁龙处理器 双摄拍照 4G全网通手机 极光蓝 6GB  64GB,34250730123,1098.00,85031,5,53160,53616,0.98,961,699,467,426
华为 HUAWEI nova 5i Pro 前置3200万人像超级夜景4800万AI四摄极点全面屏8GB+256GB极光色全网通双4G手机,华为（HUAWEI）,华为nova 5i Pro,100007000242,2599.00,76794,5,18341,57954,0.97,626,371,269,230
华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 6GB+128GB翡冷翠全网通双4G手机,华为（HUAWEI）,华为畅享10 Plus,100004619587,1799.00,74166,5,12411,61428,0.97,415,270,194,133
Redmi K20 索尼4800万超广角三摄 AMOLED弹出式全面屏 第七代屏下指纹 8GB+256GB 碳纤黑 游戏智能手机 小米 红米,小米（MI）,小米Redmi K20,100003582569,2299.00,73586,5,20846,51556,0.94,984,514,756,428
诺基亚（NOKIA）新130 黑色 直板按键 移动联通2G手机 双卡双待 老人手机 学生备用功能机,诺基亚（NOKIA）,诺基亚130,4893361,139.00,71826,5,61187,55821,0.99,269,160,236,233
努比亚 nubia 红魔3游戏手机 8GB+128GB 玄铁黑 骁龙855 内置风扇 5000mAh大电池 90Hz 全面屏拍照电竞手机,努比亚（nubia）,努比亚红魔3,100005150846,2699.00,70961,5,35516,43099,0.93,2091,800,1766,884
魅族 16 X 全面屏游戏手机 6GB+64GB 砚墨黑 全网通移动联通电信4G手机 双卡双待,魅族（MEIZU）,魅族 16 X,100000400130,1398.00,70645,5,49688,45568,0.97,1068,564,629,598
华为 HUAWEI Mate 30 麒麟990旗舰芯片4000万超感光徕卡影像双超级快充屏内指纹6G+128GB罗兰紫4G全网通版,华为（HUAWEI）,华为Mate 30,100004788071,3999.00,69494,5,15532,53641,0.97,851,568,172,149
Apple iPhone 11 Pro Max (A2220) 256GB 深空灰色  移动联通电信4G手机 双卡双待,Apple,AppleiPhone 11 Pro  Max,100004770281,10899.00,69367,5,13748,55147,0.96,430,284,330,142
,,,,,,,,,,,,,
小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 深蓝星球 6GB+128GB 游戏智能拍照手机,小米（MI）,小米CC9e,100003884761,129.00,67673,5,16611,50259,0.95,498,258,477,326
天语（K-TOUCH）E2 直板按键 老人手机 电信2G 老年手机 学生备用功能机 铂光金,天语（K-TOUCH）,天语E2,4270023,2389.00,67081,5,44909,49446,0.98,311,137,365,327
魅族 16s 骁龙855全面屏拍照游戏手机 6GB+128GB 碳纤黑 全网通移动联通电信4G手机 双卡双待,魅族（MEIZU）,魅族16s,100005087998,288.00,66093,5,24813,38812,0.9,2576,582,1745,723
飞利浦 PHILIPS E256S 陨石黑 双屏翻盖 大屏大字 长待机 移动联通2G 双卡双待 老人手机 学生备用功能机,飞利浦（PHILIPS）,飞利浦E256S,100000322417,1349.00,65903,5,41650,41891,0.99,266,141,167,135
三星 Galaxy A60元气版 全面屏 拍照手机 6GB+64GB 丹宁黑 全网通 双卡双待 4G手机,三星（SAMSUNG）,三星Galaxy A60,100005093770,82.00,64877,5,20486,43051,0.93,1389,719,776,564
飞利浦（PHILIPS）E108 陨石黑 直板按键 移动联通2G 双卡双待 老人手机 老年功能机 学生机备机,飞利浦（PHILIPS）,飞利浦E108,100001570996,1399.00,64557,5,29016,46833,0.97,318,195,348,320
OPPO K1 千元智能拍照游戏手机 屏下指纹解锁 6.4英寸水滴屏 2500万像素 梵星蓝（6+64G）套装版,OPPO,OPPO K1 千元智能拍照游戏手机 屏下指纹解锁 6.4英寸水滴屏 2500万像素 梵星蓝（6+64G）套装版,35029594117,238.00,64492,5,47407,44550,0.98,481,459,423,286
誉品（YEPEN）Y550全网通4G网络老年机 移动联通电信超长待机学生按键男女款 AI智能老人手机 香槟金,誉品（YEPEN）,誉品（YEPEN）Y550,1202626888,1598.00,58871,5,54851,27432,0.97,385,89,641,883
realme Q 4800万超广角四摄 骁龙712AIE 20W VOOC闪充 4035mAh大电池 全网通8GB+128GB 光钻蓝 游戏智能手机 真我,realme,realmerealme Q,100004605611,195.00,57903,5,16818,40509,0.96,1031,591,289,287
飞利浦（PHILIPS） E319 典雅黑 大屏超长待机 直板按键 移动联通 老人手机 双卡双待 学生老年备用功能手机,飞利浦（PHILIPS）,飞利浦E319,100004542252,198.00,56877,5,40284,36270,0.98,447,97,323,311
海尔（Haier） M360 移动2G老人机 学生手机 备用功能机 红色 老年版,海尔（Haier）,海尔（Haier）M360,12834488619,198.00,56012,5,52866,37722,0.99,351,88,148,132
海尔 Haier M360 富贵红 直板按键 移动/联通 老人手机 双卡双待 老年手机,海尔（Haier）,海尔M360,100001590221,139.00,56012,5,52866,37722,0.99,351,88,148,132
天语（K-TOUCH）E2 直板按键 老人手机 电信2G 老年手机 学生备用功能机 魅力红,天语（K-TOUCH）,天语E2,4270025,699.00,55807,5,42032,40855,0.98,286,116,319,265
魅族 V8 全面屏手机 4GB+64GB 曜黑 全网通移动联通电信4G手机 双卡双待,魅族（MEIZU）,魅族 V8,100000408612,1299.00,55709,5,21960,40720,0.97,418,219,375,290
荣耀9i手机 幻夜黑 全网通4+64G标配版,华为（HUAWEI）,华为（HUAWEI）荣耀9i,28245104630,99.00,54060,5,44365,38700,0.99,343,272,187,193
天语（K-TOUCH）N1 老人手机 移动/联通 双卡双待 按键直板 超长待机 老年学生备用功能机 红色,天语（K-TOUCH）,天语N1,4526055,5869.00,54041,5,16076,42073,0.97,190,78,222,171
三星 Galaxy S10 骁龙855 4G手机 8GB+512GB 炭晶黑 全网通 双卡双待 游戏手机,三星（SAMSUNG）,三星Galaxy S10,100003484294,149.00,54031,5,21068,31930,0.95,1540,843,631,402
诺基亚（NOKIA） 105 移动联通2G 老人老年备用学生手机 新款-黑色,诺基亚（NOKIA）,诺基亚（NOKIA）105,10629202176,198.00,54027,5,49770,35291,0.98,280,94,440,377
飞利浦（PHILIPS） E151Y 电信版天翼直板老人手机 超长待机老年手机 学生备用功能机 陨石黑,飞利浦（PHILIPS）,飞利浦（PHILIPS）E151Y,25321808903,485.00,53840,5,39539,41905,0.98,202,79,255,178
华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人老年手机 双卡双待 金色 (2G RAM+16G ROM),华为（HUAWEI）,华为（HUAWEI）荣耀畅玩7,28331229416,219.00,53677,5,35853,43716,0.98,141,91,224,178
,,,,,,,,,,,,,
荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通4GB+64GB 极光蓝,华为（HUAWEI）,华为荣耀Play3,100008031684,999.00,43131,5,8681,34236,0.97,251,139,107,107
飞利浦（PHILIPS） E289 星空灰 全网通 智能老人手机 移动联通电信4G 功能机4G 直板按键老年机 学生备用机,飞利浦（PHILIPS）,飞利浦E289,100002624532,389.00,42082,5,16209,31416,0.95,289,133,467,340
Apple 苹果  iPhone8 Plus 手机 金色 全网通 128GB,Apple,AppleiPhone 8 Plus,16580586463,4888.00,41920,5,37482,31105,0.98,305,195,478,207
OPPO A9 全面屏拍照手机 6GB+128GB 冰玉白 全网通 移动联通电信4G 双卡双待手机,OPPO,OPPOA9,100005282220,1699.00,41841,5,11144,30407,0.97,300,234,170,120
YHYON H998老人手机(读姓名) 移动老年手机 女 备用功能机 红色 老年版,亿和源（YHYON）,YHYON H998老人手机(读姓名) 移动老年手机 女 备用功能机 红色 老年版,46063576421,125.00,41092,5,39853,18956,0.99,199,40,140,106
飞利浦（PHILIPS） E132X 珠光黑  移动联通2G  老人手机,飞利浦（PHILIPS）,飞利浦E132X,5534017,149.00,40494,5,36102,26647,0.98,204,64,211,247
vivo S1 冰湖蓝 6GB+64GB 2480万AI高清自拍 超广角后置三摄拍照手机 全网通4G手机,vivo,vivoS1,100005254722,1298.00,40207,5,12498,27231,0.96,479,321,286,192
vivo【限时优惠100低至649】U1全面屏AI智慧拍照 4G全网通大电量智能手机 极光红 3GB 32GB,vivo,vivoU1,41633738201,699.00,40015,5,12249,27512,0.97,266,211,148,106
vivo 【套装】iQOO 水滴全面屏 AI三摄拍照 高通骁龙855 4G全网通 电竞游戏 智能手机 电光蓝【原装耳机套装】 6GB 128GB,vivo,vivoiQOO,44684757251,2298.00,39160,5,16487,21969,0.95,965,510,399,305
Apple 苹果 iPhone 6s Plus 4G手机 玫瑰金 全网通 128GB,Apple,AppleiPhone6s Plus,10889873343,2728.00,39151,5,34428,26994,0.97,398,114,577,261
努比亚 nubia X 双面屏 深空灰 8GB+128GB 全网通 移动联通电信4G手机 双卡双待,努比亚（nubia）,努比亚努比亚X,100000856861,2399.00,38875,5,25230,26225,0.96,782,451,594,406
Redmi K20Pro 尊享版 骁龙855Plus 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+128GB 碳纤黑 游戏智能手机 小米 红米,小米（MI）,小米Redmi K20Pro 尊享版,100004835059,2699.00,38683,5,10228,27999,0.95,562,322,231,225
三星 Galaxy A8s 全面屏手机 6GB+128GB 外星银 全网通 双卡双待 4G手机 自营,三星（SAMSUNG）,三星三星 Galaxy A8s,100002332162,1699.00,38073,5,19441,25632,0.95,684,334,517,356
乐易小达人智能手机 老人机 测心率血氧 电信移动 大屏大声大字 4g全网通 功能机 中老年人手机 高通骁龙八核4G+64G+（送32G TF卡）红色,乐易,乐易XDR-ST00,46097761137,1799.00,37955,5,875,37079,0.99,40,95,1,0
vivo iQOO Pro 5G 12GB+128GB 幻影蓝 高通骁龙855Plus手机 4800万AI三摄 44W超快闪充 全网通手机,vivo,vivoiQOO Pro,100007988940,4098.00,37888,5,11597,25822,0.96,644,323,259,210
天语（K-TOUCH）Q21 移动/联通 老人手机 直板按键 超长待机 学生备用功能机 双卡双待 老年手机 红色,天语（K-TOUCH）,天语Q21,6072395,79.00,37504,5,29396,27662,0.98,175,85,229,149
Apple 苹果 iPhone XR 手机 黑色 全网通 64GB,Apple,Apple苹果xr,31545088844,4588.00,37020,5,20871,26449,0.97,305,128,339,139
魅族 Note9 全面屏游戏拍照手机 4GB+64GB 皓白 全网通移动联通电信4G手机 双卡双待,魅族（MEIZU）,魅族Note9,100002403241,999.00,36339,5,11557,23933,0.93,741,246,504,345
天语（K-TOUCH）N1 老人手机 移动/联通 双卡双待 按键直板 超长待机 老年学生备用功能机 金色,天语（K-TOUCH）,天语N1,4526053,99.00,35516,5,21106,21908,0.98,184,77,239,187
OPPO Reno Z 4800万超清像素 超清夜景2.0 VOOC闪充 8GB+128GB 极夜黑 全网通4G 全面屏拍照智能游戏手机,OPPO,OPPOReno Z,100005945610,2199.00,34545,5,8953,25174,0.95,352,158,271,147
小米（MI） 小米6X 手机 赤焰红 全网通 6G+64G,小米（MI）,小米（MI）小米6X,27598476415,939.00,34140,5,32606,25232,0.98,264,93,272,171
华为 HUAWEI 麦芒 8 超广角AI三摄 高清珍珠屏 大存储 6GB+128GB 极光蓝 全网通双4G手机,华为（HUAWEI）,华为麦芒 8,100007728754,1599.00,34010,5,7787,25926,0.96,238,100,169,128
飞利浦（PHILIPS） E183A 按键直板 老人手机 移动联通2G 超长待机老年机 皇家蓝,飞利浦（PHILIPS）,飞利浦（PHILIPS） E183A 按键直板 老人手机 移动联通2G 超长待机老年机 皇家蓝,19580485046,178.00,33990,5,27610,25440,0.99,152,80,70,94
【限量版】OPPO Reno 巴萨定制版 高通骁龙855 4800万超清三摄 8GB+256GB 全网通全面屏拍照智能游戏手机,OPPO,OPPOReno 十倍变焦版,100006806478,4299.00,33694,5,12022,21061,0.95,893,372,353,258
飞利浦 PHILIPS E256S 炫酷红 双屏翻盖 大屏大字 长待机 移动联通2G 双卡双待 老人手机 学生备用功能机,飞利浦（PHILIPS）,飞利浦E256S,100000230600,288.00,33666,5,22982,20008,0.99,119,53,62,47
纽曼（Newman）R15c 爵士蓝 学生手机 卡片手机电信版 超薄迷你可爱儿童小手机 备用机非智能戒网手机 老人机,纽曼（Newman）,纽曼R15C,100005437224,258.00,33147,5,8845,24780,0.95,235,123,220,170
飞利浦（PHILIPS）E107 移动联通 老人手机 老年功能机 星空黑,飞利浦（PHILIPS）,飞利浦E107,100001491565,99.00,32891,5,12769,23786,0.97,167,64,199,165
Apple 苹果 iPhone XR (A2108) 手机 黑色 全网通 64GB,Apple,Apple 苹果 iPhone XR (A2108) 手机 黑色 全网通 64GB,44048919345,4598.00,32697,5,26020,21726,0.97,330,110,467,215
vivo 【至高直降200】Z5x 极点全面屏 骁龙710 5000mAh大电池 4G全网通手机 幻彩粉 6GB 64GB,vivo,vivoZ5x,52492422692,1298.00,32096,5,11324,20377,0.96,523,300,228,167
华为 HUAWEI nova 5 前置3200万人像超级夜景4800万AI四摄40W超级快充8GB+128GB亮黑色全网通双4G手机,华为（HUAWEI）,华为nova 5,100003784331,2599.00,31621,5,7590,23802,0.97,241,107,129,100
魅族16Xs 全面屏三摄拍照游戏手机  6GB+128GB冰丝白 4000mAh大电池全网通移动联通电信4G智能手机 双卡双待,魅族（MEIZU）,魅族16Xs,100006011760,1699.00,24469,5,7813,16149,0.93,457,214,298,209
尼凯恩（neken） EN8 Plus老年手机4g全网通移动联通电信版大屏大字大声大音量学生老人手机 奢华金 4G全网通微信wifi版,尼凯恩（neken）,尼凯恩（neken）EN8 Plus,56706826431,269.00,24424,5,12235,14205,0.98,106,56,111,82
,,,,,,,,,,,,,
,,,,,,,,,,,,,
守护宝（上海中兴）F5 远程控制 老人智能手机 3G+32G 金色,守护宝,守护宝上海中兴F5,5237558,499.00,24264,5,16686,16555,0.96,287,60,285,248
纽曼（Newman） L99S电信天翼移动联通直板老人手机 超长待机老年手机 红色 电信版,纽曼（Newman）,纽曼（Newman） L99S电信天翼移动联通直板老人手机 超长待机老年手机 红色 电信版,31356761706,99.00,23994,5,15157,13874,0.98,222,91,132,118
荣耀畅玩8 5.71英寸珍珠全面屏 大字体大音量长续航 莱茵护眼 2GB+32GB 极光蓝 双卡双待 全网通,华为（HUAWEI）,华为荣耀畅玩8,100006589526,599.00,23927,5,5183,18633,0.97,81,46,65,46
