,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname
0,48089397,298104,3eaf842f-911e-4b60-8f14-ea7851609da9,外观时尚漂亮，不像以前的老款那样笨重、样式难看。因为是在办公室用的，所以白天噪音基本可以忽略，晚上还没有用过。很轻便，女孩子都可以桌上地下的随意挪动。因为办公室刚装修完，还是有味道，这个用了一段时候确实觉得有效果，以前办公室里香烟的味道叶减轻了许多。用了半个多月了，操作菜单很简便，办公室里的老同志也可以轻松的操作。今天还需要再定3台，发现变成预定了。不知道这次的到货时间会不会很久啊。,2010-11-10 10:16:56,298104,2010-10-27 10:26:00,5,我爱秋天-78年的秋天
1,120579824,298104,edb71c8b-d5ff-40e2-99ac-eb09b3c1545d,安装方便，使用简单，很灵敏。吐一口烟，呼呼的风扇便开始转动。吃面条时浇的醋味，它可开始运转，哈哈。,2012-12-20 19:43:31,298104,2012-12-19 13:34:10,5,昀禾基业
2,12620150890,298104,2a679856-d8f4-43c3-9c2b-9d6abffe98e4,早上订的松下空汽净化器！，下午就由京东快递送到！，速度很快！，赞！，咱也是首次使用空气净化器，先订一个试用看！咱折开试用很不错！价格又很合理，好评！。,2019-04-06 17:14:08,298104,2019-04-06 09:07:11,5,r***E
3,445138575,298104,576d79ff-f2fd-46fb-ba21-3c72d5466cee,产品很好，声音很小，灵敏度调成最高后，只要烟一点马上就能感应到，非常不错，,2014-10-12 11:08:40,298104,2014-10-09 11:49:34,5,v***6
4,1187295912,298104,28e49792-3752-4b4a-a9d0-9c8ea5378558,"货收到了 完美 性价比很高！质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物！",2015-12-10 12:44:07,298104,2015-12-09 10:59:38,5,h***7
5,1877262625,298104,480c53a0-0883-4009-b69b-d4c63e381d15,感觉不错，昨天晚上下单第二天早上就到，非常给力！机器没有噪音，功能也不错,2016-09-30 10:09:53,298104,2016-09-29 21:14:49,5,阿***燕
6,93439497,298104,ab200138-f674-4fc2-960f-b6c03e282a39,用了一天才来评价，东西不错外观时尚大方，放在卧室调成睡眠模式没有声音，不影响睡觉，感应空气污浊很灵敏，调皮的儿子对着它放屁，机器立马亮红灯！,2012-08-20 11:28:51,298104,2012-08-17 17:00:59,5,幸***0
7,101145910,298104,267fdfed-82e3-48c2-aeaf-c66d97b0fe8a,拿到现货以后感觉，设计相当美观。   跟图片上的一样。值得一提的是灵敏度很高，比如说喷花露水 ，和使痱子粉 ，灵敏器就立马感觉到，真的很赞！！而且打开机盖后，做工用料真的很实在。外观设计也非常漂亮，给人一看，感觉能让心静下来的感觉！总的来说 超值！！,2012-09-25 17:57:10,298104,2012-09-21 18:43:00,5,爱***1
8,2037263596,298104,92e6c99d-d775-4fd9-9b35-0cd860dc07ff,很好，办公室的二手烟污染太大，没办法买的空气净化器，完美！支持京东！,2016-11-18 14:45:03,298104,2016-11-11 07:21:07,5,d***h
9,1920933022,298104,4b7b070d-2d89-46ac-b460-35baa8668412,这个东西超级好，工作声音非常小，净化屋里香烟味，宝宝也不难受了！,2016-10-17 11:30:40,298104,2016-09-12 16:39:08,5,h***8
